DocumentName,ColorNumber,RGB1,RGB2,Number_of_caracter,Area,Area_of_letter,Proportion_of_area_letter,Target
TSP_SRT_Tome3_WEB-59.jpeg,8,"(128, 0, 0)","(255, 69, 0)",61,21972210,778941,0.04,1
7750-65.jpeg,20,"(255, 250, 250)","(230, 230, 250)",2217,24171498,2950452,0.12,1
JWSTScienceFunPad-11.jpeg,5,"(47, 79, 79)","(255, 250, 250)",500,11687500,4317382,0.37,1
TSP_SRT_Tome3_WEB-25.jpeg,15,"(47, 79, 79)","(245, 255, 250)",3,21972210,0,0.0,1
WebbMediaKit-7.jpeg,7,"(47, 79, 79)","(112, 128, 144)",139,23375000,650181,0.03,1
HADOPI_RA_2014-2015-99.jpeg,18,"(47, 79, 79)","(85, 107, 47)",213,21972210,9310421,0.42,1
plan-actions-climat-energie-bd-69.jpeg,42,"(230, 230, 250)","(250, 240, 230)",2870,24171498,7521482,0.31,1
plan-actions-climat-energie-bd-26.jpeg,37,"(255, 250, 250)","(230, 230, 250)",2113,24171498,6097493,0.25,1
guide_plan_climat_energie_albi_1-16.jpeg,40,"(245, 255, 250)","(255, 250, 250)",1499,24177345,7542694,0.31,1
7750-136.jpeg,30,"(255, 250, 250)","(250, 240, 230)",1851,24171498,3541920,0.15,1
plan-actions-climat-energie-bd-40.jpeg,21,"(255, 250, 250)","(72, 61, 139)",646,24171498,2711381,0.11,1
JWSTScienceFunPad-10.jpeg,5,"(255, 250, 250)","(230, 230, 250)",258,11687500,7288750,0.62,1
guide_plan_climat_energie_albi_1-71.jpeg,23,"(102, 205, 170)","(224, 255, 255)",88,24177345,0,0.0,1
adapter_son_territoire_au_changement_climatique_Guide-55.jpeg,12,"(50, 205, 50)","(60, 179, 113)",316,17790880,435498,0.02,1
plan-actions-climat-energie-bd-20.jpeg,31,"(255, 250, 250)","(230, 230, 250)",2542,24171498,7559336,0.31,1
TSP_SRT_Tome3_WEB-21.jpeg,25,"(255, 250, 250)","(250, 240, 230)",2139,21972210,7786649,0.35,1
guide_plan_climat_energie_albi_1-80.jpeg,29,"(245, 255, 250)","(255, 250, 250)",747,24177345,4771332,0.2,1
data_detection_images_1-8.jpeg,10,"(255, 250, 250)","(248, 248, 255)",367,23375000,3667568,0.16,1
HADOPI_RA_2014-2015-28.jpeg,3,"(65, 105, 225)","(100, 149, 237)",35,21972210,1341915,0.06,1
data_detection_images_1-5.jpeg,19,"(255, 250, 250)","(248, 248, 255)",113,23375000,9657004,0.41,1
WebbMediaKit-21.jpeg,10,"(47, 79, 79)","(230, 230, 250)",1116,23375000,9074115,0.39,1
JWSTScienceFunPad-40.jpeg,4,"(255, 250, 250)","(230, 230, 250)",397,11687500,6019708,0.52,1
plan-actions-climat-energie-bd-34.jpeg,29,"(47, 79, 79)","(230, 230, 250)",1790,24171498,7794144,0.32,1
vol1_gicc-24.jpeg,3,"(255, 250, 250)","(230, 230, 250)",1144,24163936,0,0.0,1
WebbMediaKit-10.jpeg,20,"(255, 250, 250)","(47, 79, 79)",881,23375000,8302772,0.36,1
guide_plan_climat_energie_albi_1-14.jpeg,31,"(255, 250, 250)","(245, 255, 250)",897,24177345,3663921,0.15,1
Apple_SR_2020_Progress_Report_FR-31.jpeg,49,"(47, 79, 79)","(85, 107, 47)",202,23375000,20778795,0.89,1
adapter_son_territoire_au_changement_climatique_Guide-11.jpeg,38,"(143, 188, 143)","(230, 230, 250)",1788,17790880,5847645,0.33,1
immobilier Upside L'atelier  2-4.jpeg,18,"(255, 250, 250)","(176, 196, 222)",1695,24171498,5045153,0.21,1
JWSTScienceFunPad-22.jpeg,4,"(255, 250, 250)","(230, 230, 250)",93,11687500,6697844,0.57,1
