DocumentName;Number_of_caracter;Area_of_letter;Area_of_word;Proportion_of_area_letter;Proportion_of_area_word;Proportion_of_area_letter2;Proportion_of_area_word2
2-0.jpeg;3049;4880487;6045454;0,208790888;0,258629048;0,21;0,26
2-1.jpeg;3456;3370289;4919885;0,144183487;0,210476364;0,14;0,21
2-2.jpeg;1137;2135758;2615671;0,091369326;0,111900364;0,09;0,11
2-3.jpeg;2339;4014265;4978865;0,171733262;0,212999572;0,17;0,21
2-4.jpeg;1647;3243688;3944234;0,138767401;0,168737283;0,14;0,17
2-5.jpeg;2931;2119718;2794116;0,090683123;0,119534374;0,09;0,12
2-6.jpeg;1581;1940356;2474914;0,083009882;0,105878674;0,08;0,11
data_detection_images_1-0.jpeg;2476;1880402;2167849;0,080445005;0,092742203;0,08;0,09
data_detection_images_1-1.jpeg;2638;3090862;2664622;0,13222939;0,113994524;0,13;0,11
data_detection_images_1-10.jpeg;226;6998887;7353856;0,299417626;0,314603465;0,3;0,31
data_detection_images_1-11.jpeg;1630;2132961;1936528;0,091249668;0,082846118;0,09;0,08
data_detection_images_1-12.jpeg;3423;3521464;3173819;0,150650866;0,135778353;0,15;0,14
data_detection_images_1-13.jpeg;1527;1322840;1620885;0,056592086;0,069342674;0,06;0,07
data_detection_images_1-14.jpeg;2826;13071728;12574166;0,55921831;0,537932235;0,56;0,54
data_detection_images_1-15.jpeg;1565;5965438;7632431;0,255205904;0,326521112;0,26;0,33
data_detection_images_1-16.jpeg;2185;4232362;4755044;0,181063615;0,203424342;0,18;0,2
data_detection_images_1-17.jpeg;1033;2187855;2316259;0,093598075;0,099091294;0,09;0,1
data_detection_images_1-18.jpeg;3930;13914134;13189513;0,59525707;0,564257241;0,6;0,56
data_detection_images_1-19.jpeg;4413;2243836;3233560;0,095992984;0,138334118;0,1;0,14
data_detection_images_1-2.jpeg;2426;2193070;1983313;0,093821176;0,084847615;0,09;0,08
data_detection_images_1-20.jpeg;2527;6200408;7468317;0,265258096;0,319500193;0,27;0,32
data_detection_images_1-21.jpeg;4017;1983094;2686898;0,084838246;0,114947508;0,08;0,11
data_detection_images_1-22.jpeg;365;0;524641;0;0,022444535;0;0,02
data_detection_images_1-23.jpeg;1053;964100;1266639;0,04124492;0,054187765;0,04;0,05
data_detection_images_1-24.jpeg;1211;7289716;7522802;0,311859508;0,321831102;0,31;0,32
data_detection_images_1-25.jpeg;1168;3728686;3519466;0,159515979;0,15056539;0,16;0,15
data_detection_images_1-26.jpeg;279;605864;658513;0,025919316;0,028171679;0,03;0,03
data_detection_images_1-27.jpeg;1040;3509909;3588607;0,150156535;0,153523294;0,15;0,15
data_detection_images_1-28.jpeg;807;992666;1000527;0,042466995;0,042803294;0,04;0,04
data_detection_images_1-29.jpeg;1656;4102571;3923115;0,175511059;0,167833797;0,18;0,17
data_detection_images_1-3.jpeg;1923;2557687;2156147;0,109419765;0,092241583;0,11;0,09
data_detection_images_1-30.jpeg;574;756525;763657;0,032364706;0,032669818;0,03;0,03
data_detection_images_1-31.jpeg;794;2869640;2883035;0,122765348;0,123338396;0,12;0,12
data_detection_images_1-32.jpeg;1286;3280458;3341864;0,140340449;0,142967444;0,14;0,14
data_detection_images_1-33.jpeg;711;892894;968288;0,038198674;0,041424086;0,04;0,04
data_detection_images_1-34.jpeg;1233;2751686;2696000;0,117719187;0,115336898;0,12;0,12
data_detection_images_1-35.jpeg;1273;3835226;3854456;0,16407384;0,164896513;0,16;0,16
data_detection_images_1-36.jpeg;535;704303;726343;0,03013061;0,031073497;0,03;0,03
data_detection_images_1-37.jpeg;537;593358;767965;0,025384299;0,032854118;0,03;0,03
data_detection_images_1-38.jpeg;1588;3033982;2873091;0,129796021;0,122912984;0,13;0,12
data_detection_images_1-39.jpeg;4228;5602617;5213520;0,23968415;0,223038289;0,24;0,22
data_detection_images_1-4.jpeg;1580;1474350;1318190;0,063073797;0,056393155;0,06;0,06
data_detection_images_1-40.jpeg;1758;2103597;1916244;0,089993455;0,081978353;0,09;0,08
data_detection_images_1-41.jpeg;5073;6969516;6315083;0,298161112;0,270163979;0,3;0,27
data_detection_images_1-42.jpeg;2715;1891483;2571115;0,080919059;0,109994225;0,08;0,11
data_detection_images_1-43.jpeg;2557;1737864;2478402;0,074347123;0,106027893;0,07;0,11
data_detection_images_1-44.jpeg;334;362900;386552;0,015525134;0,016536984;0,02;0,02
data_detection_images_1-45.jpeg;2628;1965139;2749852;0,084070118;0,117640727;0,08;0,12
data_detection_images_1-5.jpeg;117;9624356;9672222;0,411737155;0,413784898;0,41;0,41
data_detection_images_1-6.jpeg;93;1396032;2035771;0,059723294;0,087091807;0,06;0,09
data_detection_images_1-7.jpeg;99;4941530;4932151;0,211402353;0,211001112;0,21;0,21
data_detection_images_1-8.jpeg;321;3652184;3732235;0,156243166;0,159667807;0,16;0,16
data_detection_images_1-9.jpeg;60;75968;4543927;0,003249968;0,194392599;0;0,19
Diagnostics programme immo L'Etang la ville-0.jpeg;2472;2771866;3268602;0,114674978;0,135225463;0,11;0,14
Diagnostics programme immo L'Etang la ville-1.jpeg;1152;1713922;1660168;0,070906735;0,068682876;0,07;0,07
Diagnostics programme immo L'Etang la ville-10.jpeg;634;485971;593218;0,020105125;0,024542045;0,02;0,02
Diagnostics programme immo L'Etang la ville-11.jpeg;879;2538535;2647076;0,105021832;0,109512286;0,11;0,11
Diagnostics programme immo L'Etang la ville-12.jpeg;1387;2391081;2639993;0,098921507;0,109219255;0,1;0,11
Diagnostics programme immo L'Etang la ville-13.jpeg;372;495026;454318;0,02047974;0,018795608;0,02;0,02
Diagnostics programme immo L'Etang la ville-14.jpeg;2109;4148733;4548380;0,171637397;0,188171209;0,17;0,19
Diagnostics programme immo L'Etang la ville-15.jpeg;303;356082;342294;0,014731483;0,014161059;0,01;0,01
Diagnostics programme immo L'Etang la ville-16.jpeg;1258;1270711;1677613;0,052570635;0,069404594;0,05;0,07
Diagnostics programme immo L'Etang la ville-17.jpeg;573;523285;592375;0,021648844;0,02450717;0,02;0,02
Diagnostics programme immo L'Etang la ville-18.jpeg;4465;3496170;4352529;0,144640187;0,180068649;0,14;0,18
Diagnostics programme immo L'Etang la ville-19.jpeg;1432;1052422;1269792;0,043539792;0,052532615;0,04;0,05
Diagnostics programme immo L'Etang la ville-2.jpeg;1948;1482766;1983169;0,061343571;0,082045763;0,06;0,08
Diagnostics programme immo L'Etang la ville-20.jpeg;5166;4365538;5104232;0,180606845;0,211167384;0,18;0,21
Diagnostics programme immo L'Etang la ville-21.jpeg;504;332643;5144781;0,013761787;0,212844938;0,01;0,21
Diagnostics programme immo L'Etang la ville-22.jpeg;5339;4056932;5275998;0,167839494;0,218273522;0,17;0,22
Diagnostics programme immo L'Etang la ville-23.jpeg;7271;4801130;7425255;0,198627739;0,307190518;0,2;0,31
Diagnostics programme immo L'Etang la ville-24.jpeg;7164;4613912;6982095;0,190882336;0,288856528;0,19;0,29
